student_id,grade,parent_guardian_first_name,parent_guardian_last_name,address_1,address_2,county,city,state,zip_code,first_name,middle_name,last_name,preferred_name,alias_names,phone_number,email,date_of_birth,race,ethnicity,gender,insurance_group_number,insurance_policy_holder,insurance_primary_member_date_of_birth,insurance_primary_member_first_name,insurance_primary_member_last_name,insurance_secondary_company,insurance_secondary_group_number,insurance_secondary_member_date_of_birth,insurance_secondary_member_first_name,insurance_secondary_member_last_name,insurance_secondary_policy_holder,insurance_status,school_name,school_address_1,school_address_2,school_county,school_city,school_state,school_zip_code
1,1,Rebecca,Tapia,167 Paige Loaf Apt. 637,,Springfield County,Springfield,IL,62137,Sabrina,Corey,Ellis,Christopher,Penny,992-448-1059,martinezjeffrey@yahoo.com,2010-09-19,Asian,Hispanic,Male,G7230398,Michael Hunt,1986-10-24,Alicia,Mitchell,"Cooper, Williams and Hardy",S3694719,1974-03-02,Colleen,Ramos,Robert Williams,False,Springfield Elementary,10750 Ramirez Knolls,,Springfield County,Springfield,IL,63034
2,10,Derek,Hill,52620 Hall Corner Suite 002,,Springfield County,Springfield,IL,52538,Wanda,Justin,Barr,Amanda,Derek,001-259-431-1135x054,cwright@hotmail.com,2008-12-27,White,Hispanic,Female,G0778344,Andrea King,1981-08-31,Tara,Pierce,Pope-Allen,S3836101,1987-03-14,Cynthia,Davis,Michael Austin,False,Springfield Elementary,10750 Ramirez Knolls,,Springfield County,Springfield,IL,63034
3,1,Antonio,Christensen,19230 Mary Walk Suite 607,,Springfield County,Springfield,IL,96488,Tanner,Megan,Perez,Charles,Robert,+1-728-672-5436x3112,dianehubbard@palmer-randolph.com,2016-05-10,Native American,Non-Hispanic,Male,G8511630,Joshua Rodriguez,1972-12-03,Alicia,Harvey,"Wang, Ortega and Hunter",S0639453,1987-04-11,David,Stewart,Denise Phelps,False,Springfield Elementary,10750 Ramirez Knolls,,Springfield County,Springfield,IL,63034
4,11,Kaylee,Miller,309 Mary Lake,,Springfield County,Springfield,IL,20743,Eduardo,David,Hill,Charles,James,(251)314-8889x985,crystaljohnson@carlson.info,2007-06-01,White,Non-Hispanic,Other,G0188231,Laura Golden,1972-06-23,Anthony,Salas,Spencer-Shields,S4458512,1970-05-04,Gina,Wilson,Felicia Weiss,False,Springfield Elementary,10750 Ramirez Knolls,,Springfield County,Springfield,IL,63034
5,10,James,Clark,0114 Ray Light Suite 640,,Springfield County,Springfield,IL,62203,Brian,Julie,Taylor,Elizabeth,Jeffrey,988.606.4812x688,matthew43@scott-elliott.net,2017-05-14,Hispanic or Latino,Hispanic,Other,G8809541,Christina Allen,1987-10-28,Jessica,Nelson,Oconnell and Sons,S8984876,1974-10-07,Devin,Palmer,Tanya Patterson,True,Springfield Elementary,10750 Ramirez Knolls,,Springfield County,Springfield,IL,63034
6,9,Randall,Byrd,7067 Gonzalez Landing,,Springfield County,Springfield,IL,38954,Eric,Donald,Clark,Michael,Danielle,382.935.2648x60094,troy56@mcmahon.com,2016-09-26,Black or African American,Non-Hispanic,Female,G6201215,Michael Velasquez,1982-03-29,Tanner,Lee,"Briggs, Garcia and Kim",S6969314,1973-09-26,Molly,Morgan,Erin Thomas,True,Springfield Elementary,10750 Ramirez Knolls,,Springfield County,Springfield,IL,63034
7,2,Rachel,Beck,93363 Hailey Falls,,Springfield County,Springfield,IL,21944,Laura,Amanda,Lynch,Kathryn,Shawn,+1-185-260-0138x225,thomas98@yahoo.com,2008-04-28,Black or African American,Hispanic,Male,G0407163,Charles Frye,1994-10-23,Christine,Jackson,"Stein, Green and Walker",S5152592,1992-09-14,Gary,Adams,Patricia Montoya,True,Springfield Elementary,10750 Ramirez Knolls,,Springfield County,Springfield,IL,63034
8,11,John,Campbell,5022 Thomas Estate,,Springfield County,Springfield,IL,06396,Robert,Jessica,Harris,Matthew,Lisa,+1-821-796-3163,trevor04@hotmail.com,2010-01-16,Hispanic or Latino,Non-Hispanic,Male,G1861108,Crystal Lewis,1991-09-08,Dawn,Gonzalez,Woodard and Sons,S6601802,1990-04-02,Christina,Garza,George Stone,False,Springfield Elementary,10750 Ramirez Knolls,,Springfield County,Springfield,IL,63034
9,4,Alison,Dyer,978 Whitehead Divide,,Springfield County,Springfield,IL,51953,Parker,Paul,Charles,Valerie,Gregory,+1-854-183-2448x90221,gregory72@grant-hood.com,2007-06-21,Black or African American,Hispanic,Female,G2919907,Justin Sanders,1977-09-26,Stephanie,Vargas,"Hunter, Howard and Martinez",S5102266,1978-03-06,Sharon,Graves,Kimberly Mack,True,Springfield Elementary,10750 Ramirez Knolls,,Springfield County,Springfield,IL,63034
10,2,Dean,Thomas,45310 Horton Crossing,,Springfield County,Springfield,IL,65568,Martha,Steven,Le,Karen,Felicia,+1-441-772-1458,jenniferduncan@hotmail.com,2013-04-09,Hispanic or Latino,Non-Hispanic,Male,G9286134,Eric Evans,1989-05-10,Elizabeth,Estrada,Hayes PLC,S7929966,1969-03-24,Kelly,Garcia,Chad Benson,True,Springfield Elementary,10750 Ramirez Knolls,,Springfield County,Springfield,IL,63034
